127.0.0.1 - - [26/Aug/2020:00:05:54 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20871
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/imgs/hantv.png HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/imgs/search_btn.png HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/imgs/login_btn_rollover.png HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/imgs/login_btn.png HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/imgs/home_selected.png HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/imgs/hot_normal.png HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/imgs/review_normal.png HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/imgs/text_normal.png HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/imgs/account_ikmyong.png HTTP/1.1" 200 2751
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/imgs/account_person.png HTTP/1.1" 200 1511
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/imgs/account_cat.png HTTP/1.1" 200 3719
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/imgs/account_hamzzi.png HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/contents/videos/%EB%B0%95%ED%9A%A8%EC%8B%A0-%EA%B7%B8%EB%82%A0.mp4 HTTP/1.1" 206 2723901
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/contents/videos/ham.mp4 HTTP/1.1" 206 1380851
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/contents/videos/%EC%9B%8C%ED%84%B0%EB%A9%9C%EB%A1%A0%EB%85%B9%ED%99%94.mp4 HTTP/1.1" 206 1784078
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 1531297
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 89505
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/contents/videos/%EB%B0%95%ED%9A%A8%EC%8B%A0-%EA%B7%B8%EB%82%A0.mp4 HTTP/1.1" 206 102461
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 1310721
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:56 +0900] "GET /JSP_Han/resources/contents/videos/%EB%B0%95%ED%9A%A8%EC%8B%A0-%EA%B7%B8%EB%82%A0.mp4 HTTP/1.1" 206 2490369
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:05:57 +0900] "GET /JSP_Han/login.jsp HTTP/1.1" 200 5608
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:06:01 +0900] "POST /JSP_Han/idcheck.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:06:03 +0900] "POST /JSP_Han/idcheck.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:06:04 +0900] "POST /JSP_Han/idcheck.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:06:06 +0900] "POST /JSP_Han/idcheck.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:06:08 +0900] "POST /JSP_Han/pwdcheck.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:06:09 +0900] "POST /JSP_Han/pwdcheck.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [26/Aug/2020:00:06:09 +0900] "POST /JSP_Han/main.jsp HTTP/1.1" 200 20914
