127.0.0.1 - - [07/Dec/2020:15:27:36 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:27:38 +0900] "GET /JSP_Han/review.jsp HTTP/1.1" 200 14639
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:27:38 +0900] "GET /JSP_Han/resources/imgs/hantv.png HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:27:38 +0900] "GET /JSP_Han/resources/imgs/search_btn.png HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:27:38 +0900] "GET /JSP_Han/resources/imgs/login_btn.png HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:27:38 +0900] "GET /JSP_Han/resources/imgs/login_btn_rollover.png HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:27:38 +0900] "GET /JSP_Han/resources/imgs/home_normal.png HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:27:38 +0900] "GET /JSP_Han/resources/imgs/hot_normal.png HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:27:38 +0900] "GET /JSP_Han/resources/imgs/review_selected.png HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:27:38 +0900] "GET /JSP_Han/resources/imgs/text_normal.png HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:27:38 +0900] "GET /JSP_Han/resources/imgs/account_ikmyong.png HTTP/1.1" 200 2751
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:27:38 +0900] "GET /JSP_Han/resources/imgs/account_hamzzi.png HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:27:39 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:27:49 +0900] "GET /JSP_Han/review.jsp HTTP/1.1" 200 14639
0:0:0:0:0:0:0:1 - - [07/Dec/2020:15:29:47 +0900] "GET /favicon.ico HTTP/1.1" 404 761
