127.0.0.1 - - [29/Mar/2021:22:05:20 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:21 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20871
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:21 +0900] "GET /JSP_Han/resources/imgs/hantv.png HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:21 +0900] "GET /JSP_Han/resources/imgs/search_btn.png HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:21 +0900] "GET /JSP_Han/resources/imgs/login_btn.png HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:21 +0900] "GET /JSP_Han/resources/imgs/login_btn_rollover.png HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:21 +0900] "GET /JSP_Han/resources/imgs/home_selected.png HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:21 +0900] "GET /JSP_Han/resources/imgs/hot_normal.png HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:21 +0900] "GET /JSP_Han/resources/imgs/review_normal.png HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:21 +0900] "GET /JSP_Han/resources/imgs/text_normal.png HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:22 +0900] "GET /JSP_Han/resources/imgs/account_ikmyong.png HTTP/1.1" 200 2751
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:22 +0900] "GET /JSP_Han/resources/imgs/account_cat.png HTTP/1.1" 200 3719
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:22 +0900] "GET /JSP_Han/resources/imgs/account_person.png HTTP/1.1" 200 1511
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:22 +0900] "GET /JSP_Han/resources/imgs/account_hamzzi.png HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:22 +0900] "GET /JSP_Han/resources/contents/videos/%EB%B0%95%ED%9A%A8%EC%8B%A0-%EA%B7%B8%EB%82%A0.mp4 HTTP/1.1" 206 2723901
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:22 +0900] "GET /JSP_Han/resources/contents/videos/ham.mp4 HTTP/1.1" 206 1380851
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:22 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 1531297
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:22 +0900] "GET /JSP_Han/resources/contents/videos/%EC%9B%8C%ED%84%B0%EB%A9%9C%EB%A1%A0%EB%85%B9%ED%99%94.mp4 HTTP/1.1" 206 1784078
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:22 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 89505
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:22 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 1310721
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:22 +0900] "GET /JSP_Han/resources/contents/videos/%EB%B0%95%ED%9A%A8%EC%8B%A0-%EA%B7%B8%EB%82%A0.mp4 HTTP/1.1" 206 102461
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:22 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:22 +0900] "GET /JSP_Han/resources/contents/videos/%EB%B0%95%ED%9A%A8%EC%8B%A0-%EA%B7%B8%EB%82%A0.mp4 HTTP/1.1" 206 2490369
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:05:31 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:05 +0900] "GET /JSP_Han/post.jsp?post=4 HTTP/1.1" 200 14643
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:05 +0900] "GET /JSP_Han/resources/imgs/home_normal.png HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:09 +0900] "GET /JSP_Han/video.jsp HTTP/1.1" 200 16940
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:09 +0900] "GET /JSP_Han/resources/imgs/hot_selected.png HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:09 +0900] "GET /JSP_Han/resources/contents/videos/hamzzi.mp4 HTTP/1.1" 206 4637642
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:09 +0900] "GET /JSP_Han/resources/contents/videos/jjjeerryyy.mp4 HTTP/1.1" 206 3062022
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:12 +0900] "GET /JSP_Han/review.jsp HTTP/1.1" 200 14639
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:12 +0900] "GET /JSP_Han/resources/imgs/review_selected.png HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:13 +0900] "GET /JSP_Han/board.jsp HTTP/1.1" 200 15268
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:14 +0900] "GET /JSP_Han/resources/imgs/text_selected.png HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:15 +0900] "GET /JSP_Han/board.jsp?sort=2 HTTP/1.1" 200 15268
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:15 +0900] "GET /JSP_Han/board.jsp?sort=1 HTTP/1.1" 200 15268
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:16 +0900] "GET /JSP_Han/post.jsp?post=4 HTTP/1.1" 200 14643
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:17 +0900] "GET /JSP_Han/video.jsp HTTP/1.1" 200 16940
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:17 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20871
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:18 +0900] "GET /JSP_Han/resources/contents/videos/%EB%B0%95%ED%9A%A8%EC%8B%A0-%EA%B7%B8%EB%82%A0.mp4 HTTP/1.1" 206 1966085
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:18 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20871
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:18 +0900] "GET /JSP_Han/resources/contents/videos/%EB%B0%95%ED%9A%A8%EC%8B%A0-%EA%B7%B8%EB%82%A0.mp4 HTTP/1.1" 206 1835008
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:19 +0900] "GET /JSP_Han/resources/contents/videos/%EC%9B%8C%ED%84%B0%EB%A9%9C%EB%A1%A0%EB%85%B9%ED%99%94.mp4 HTTP/1.1" 206 407822
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:23 +0900] "GET /JSP_Han/watch.jsp?video=2 HTTP/1.1" 200 15052
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:25 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:26 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20871
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:26 +0900] "GET /JSP_Han/resources/contents/videos/%EB%B0%95%ED%9A%A8%EC%8B%A0-%EA%B7%B8%EB%82%A0.mp4 HTTP/1.1" 206 61
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:26 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 655362
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:32 +0900] "GET /JSP_Han/login.jsp HTTP/1.1" 200 5608
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:06:34 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20871
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:08:20 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20871
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:10:11 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 655360
0:0:0:0:0:0:0:1 - - [29/Mar/2021:22:10:11 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 417
